date,content,source,user_name,followers,handle,location,country,link,tags,replies,reposts,likes,views,included_url
2025-02-20,"#TTLC25 is underway, and our March 26 #TogetherSeparately livestream will discuss news from the conference. Find out the latest in #LungCancer from Dr. Benjamin Levy, Dr. Shirish Gadgeel, and Dr. Isabel Preeshagul. Join us: http://LCRF.org/together 
@ipreeshagul @benlevylungdoc @ShirishGadgeel",x.com,Lung Cancer Research Foundation,10800,@lcrf_org,"New York, NY",United States,https://x.com/lcrf_org/status/1892597625125302381,"#TTLC25, #LungCancer",0,2,2,408,https://www.lungcancerresearchfoundation.org/event/togetherseparately-iaslc-targeted-therapies-recap-2/
2025-02-20,"Always great to hear @LaurenByersMD share her expertise in small cell lung cancer! This morning, she discussed ways to improve outcomes for patients with limited-stage SCLC. #TTLC25 
@PercyLeeMD",x.com,"Eric K. Singhi, MD",4906,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1892601384584823291,#TTLC25,0,5,9,760,
2025-02-20,"Hoping the sun comes back out today at #TTLC25! Grateful to be here! 
@IASLC",x.com,"Eric K. Singhi, MD",4906,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1892603552402424041,#TTLC25,1,2,10,533,
2025-02-20,"Bookmark this slide from @JuliaRotow! The treatment landscape for EGFR+ mNSCLC is increasingly complex. Shared decision-making is crucial, and how we sequence available regimens matters just as much as the choices themselves. #TTLC25 @IASLC @OncoAlert",x.com,"Eric K. Singhi, MD",4906,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1892610600741515268,#TTLC25,3,21,59,3699,
2025-02-20,"The cost of lung cancer care is more than just medical bills. 
This is such an impactful slide from @JuliaRotow about the time toxicity associated with the treatments we prescribe for our patients with EGFR+ disease. #TTLC25",x.com,"Eric K. Singhi, MD",4906,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1892611116007670114,#TTLC25,1,11,29,2310,
2025-02-20,"Masterful presentation by Dr. @JuliaRotow discussing the ever expanding #EGFR mt #NSCLC. How do we measure the cost of intensifying 1L treatment, and how will we navigate the numerous upcoming options in the 2L space? #lcam #lcsm #TTLC25 
@EGFRResisters @EGFRSummit @EgfrUk @IASLC",x.com,"Jennifer A. Marks, MD",1735,@jennifermarksmd,"Boston, MA",United States,https://x.com/jennifermarksmd/status/1892613020867502136,"#EGFR, #NSCLC, #lcam, #lcsm, #TTLC25 ",0,6,14,634,
2025-02-20,"Great talk by Dr. Evan Wu with a focus on how we can incorporate shared decision-making with our patients.
@BalazsHalmosMD, our figure made it on the slide! #TTLC25 @IASLC",x.com,"Eric K. Singhi, MD",4906,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1892615688902033747,#TTLC25,0,5,13,632,
2025-02-20,"Phenomenal talk by @JuliaRotow discussing the complicated landscape of therapies for #EGFR-mutated NSCLC, reviewing factors to consider in weighing 1L intensive options (OS benefit, AEs, time toxicity) & need for biomarkers to sequence 2L+ options #TTLC25 #FLAURA2 #MARIPOSA",x.com,"Sarah Waliany, MD, MS",1113,@SWaliany,,United States,https://x.com/SWaliany/status/1892615800013369451,"#EGFR, #TTLC25, #FLAURA2, #MARIPOSA",0,6,9,538,
2025-02-20,Dr. Khaled Hassan talking about MET-assoc acquired resistance in EGFRm+ NSCLC at ⁦@IASLC #TTLC25,x.com,"Nathan A. Pennell MD, PhD, FASCO",13400,@n8pennell,"Cleveland, OH",United States,https://x.com/n8pennell/status/1892618845103276401,#TTLC25,0,1,46,432,
2025-02-20,I found a designated smoking area outside a #lungcancer conference #TTLC25  . Next year we should move the lecture to this area. Addressing risk factors such as smoking (even if non-smokers get lung cancer) is as important as developing new drugs. #lcsm,x.com,Dr. Estela Rodriguez,7130,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1892619274889429006,"#lungcancer, #TTLC25, #lcsm",0,1,13,394,
2025-02-20,"We're here exhibiting at Targeted Therapies for Lung Cancer in Huntington Beach, CA, and ready to talk about your next research project! Stop by to see how we can help with funding, staffing, and support! #lungcancer #ttlc25",x.com,Addario Lung Cancer Medical Institute,23,@ALCMI_research,"San Carlos, CA",United States,https://x.com/ALCMI_research/status/1892620293333475380,"#lungcancer,  #ttlc25",0,0,2,99,
2025-02-20,"#TTLC25 Great to see @edgardo_ny and @KatherineScilla @umaryland chairing the first Targeted Therapy session on EGFR, MET HER2/3 #lcsm @IASLC",x.com,Dr. Estela Rodriguez,7130,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1892620701334454456,"#TTLC25,  #lcsm",0,2,5,501,
2025-02-20,"Not all EGFR mutations are the same.
Dr. @LeXiuning takes us through treatment options for EGFR PACC mutations.
PACC mutations ~12% of EGFR mutations, often as compound mutations
Current SOC is heterogenous 
Novel TKIs under development

#TTLC25 @IASLC",x.com,"Eric K. Singhi, MD",4906,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1892625593142812929,#TTLC25 ,0,13,28,4037,
2025-02-20,"Masterful summary of the EGFR landscape, across diverse mutation subtypes, by @LeXiuning at #TTLC25",x.com,Geoff Oxnard MD,3839,@geoff_oxnard,"Boston, MA",United States,https://x.com/geoff_oxnard/status/1892626377364386212,#TTLC25,0,11,44,2149,
2025-02-20,Dr. Saltos shares good news about FDA granting priority review of zongertinib for HER2 mutant NSCLC at ⁦@IASLC #TTLC25!,x.com,"Nathan A. Pennell MD, PhD, FASCO",13400,@n8pennell,"Cleveland, OH",United States,https://x.com/n8pennell/status/1892628817379799184,#TTLC25,1,8,40,3966,
2025-02-20,"One of the most important ribbons  “Caregiver”

Because caring for my parents during their cancer journeys is a honor and privilege 

#TTLC25",x.com,"Narjust Florez, MD, FASCO",24100,@NarjustFlorezMD,"Boston, MA",United States,https://x.com/NarjustFlorezMD/status/1892629990614683767,#TTLC25,0,2,37,1086,
2025-02-20,"Excellent talk by @LeXiuning on #EGFR #PACC mutations #TTLC25
PACC = ~12% of EGFR mut in #NSCLC
Existing EGFR TKIs have modest efficacy for PACC. Best responses w/ 2G TKI afatinib in single & compound mut
Ongoing/planned trials eg. #firmonertinib in 1L & adjuvant settings",x.com,"Sarah Waliany, MD, MS",1113,@SWaliany,,United States,https://x.com/SWaliany/status/1892630525958848882,"#EGFR, #PACC, #TTLC25, #NSCLC, #firmonertinib ",0,11,29,1878,
2025-02-20,"#TTLC25  Reaching consensus about best 2nd line option post osimertinib resistance still complicated: adding chemo +osi vs ami+chemo (Mariposa2)
Important to offer repeat NGS to understand pattern of resistance. 
Involve pts in shared-decision making
#lcsm @IASLC",x.com,Dr. Estela Rodriguez,7130,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1892632993031766070,"#TTLC25, #lcsm",0,5,12,1004,
2025-02-20,TTLC25 @LeXiuning @MDAndersonNews presents data on the forgotten atypical PACC #EGFRmutations and what are the best treatment options for this group of patients. #lcsm,x.com,Dr. Estela Rodriguez,7130,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1892635177886621748,"#EGFRmutations, #lcsm",0,5,15,800,
2025-02-20,"Osimertinib alone or combination therapy for 1L EGFR+ mNSCLC?

Great debate at #TTLC25 with 
@ShirishGadgeel
 & Dr. Helena Yu. 

Shared decision-making is crucial
Both quality & quantity matter
25-40% of patients never reach 2L therapy
How to risk stratify?",x.com,"Eric K. Singhi, MD",4906,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1892641234230870351,#TTLC25,0,13,48,3123,
2025-02-20,"Provocative discussion by panel, #HelenaYu & @ShirishGadgeel on tx landscape in #EGFR-mutant NSCLC #TTLC25
Risk stratification for 1L escalation eg. L858R, ctDNA, CNS mets
Using post-progression bx to guide 2L tx, w/ need for NGS, histologic analysis & spatial transcriptomics",x.com,"Sarah Waliany, MD, MS",1113,@SWaliany,,United States,https://x.com/SWaliany/status/1892649679344587110,"#HelenaYu, #EGFR, #TTLC25",0,7,26,1909,
2025-02-20,"“I am your reminder… of why quality of life matters, why patient voices belong in research, and why we must push for faster, smarter collaboration.”

Join Summer Farmen at #TTLC2025 as she shares her story redefining the odds.
Today | Feb 20 | 2 PM PST
#RedefiningTheOdds",x.com,ALK Positive,2626,@ALKPositiveinc,,United States,https://x.com/ALKPositiveinc/status/1892652256190705941,"#TTLC2025, #RedefiningTheOdds",0,0,12,275,
2025-02-20," Don't forget to join us tonight‼
Test your #ADC knowledge against AI & top #lungcancer experts at our “Experts vs AI” ADC Challenge—Lung Cancer Edition!
6:30 PM PST: Reg & Dinner
6:45 PM PST / 9:45 PM EST: In-Person & Virtual Symposium  Hyatt Regency Huntington Beach",x.com,PeerView,5068,@PeerView,"New York, NY",United States,https://x.com/PeerView/status/1892601393304768811,"#ADC, #lungcancer",0,3,5,146,
2025-02-20,"#TTLC25 is underway, and our March 26 #TogetherSeparately livestream will discuss news from the conference. Find out the latest in #LungCancer from Dr. Benjamin Levy, Dr. Shirish Gadgeel, and Dr. Isabel Preeshagul. Join us: LCRF.org/together 

@benlevylungdoc.bsky.social",https://bsky.app/,Lung Cancer Research Foundation,1000,@lungcancerresearch.bsky.social,,United States,https://bsky.app/profile/lungcancerresearch.bsky.social/post/3liml2lsfs324,"#TTLC25, #TogetherSeparately, #LungCancer",0,2,4,,https://www.lungcancerresearchfoundation.org/event/togetherseparately-iaslc-targeted-therapies-recap-2/
2025-02-20,"Packed room at #TTLC25 and fantastic intro talk to EGFR therapy sequencing and unanswered questions by my colleague Dr Julia Rotow
#lcsm #oncsky 
@danafarber.bsky.social
@iaslc.bsky.social",https://bsky.app/,"Jia Luo, MD",1100,@jia-luo.bsky.social,,United States,https://bsky.app/profile/jia-luo.bsky.social/post/3limpqzwtyk2v,"#TTLC25, #lcsm, #oncsky ",1,3,4,,
2025-02-20,"We're here exhibiting at Targeted Therapies for Lung Cancer in Huntington Beach, CA, and ready to talk about your next research project! Stop by to see how we can help with funding, staffing, and support! #lungcancer #ttlc25",https://bsky.app/,Addario Lung Cancer Medical Institute (ALCMI),74,@ALCMI_research@alcmi.bsky.social,"San Carlos, CA",United States,https://bsky.app/profile/alcmi.bsky.social/post/3limre2bt362o,"#lungcancer, #ttlc25",0,0,0,,
2025-02-20,"Excellent summary of the approach to uncommon EGFR mutations by Dr Xiuning Le (MDACC)
#TTLC25 #lcsm #oncsky 
@iaslc.bsky.social",https://bsky.app/,"Jia Luo, MD",1100,@jia-luo.bsky.social,,United States,https://bsky.app/profile/jia-luo.bsky.social/post/3limspfvrck2v,"#TTLC25, #lcsm, #oncsky ",0,1,3,,
2025-02-20,"Join us this afternoon for Experts vs AI: The ADC Challenge!

Are you up to date on ADCs in lung cancer? In this interactive satellite symposia, expert oncologists put AI to the test on biomarkers, toxicity management & clinical applications.

Today at #TTLC25
bit.ly/PeerviewTTLC25",https://bsky.app/,IASLC,374,@iaslc.bsky.social,,United States,https://bsky.app/profile/iaslc.bsky.social/post/3limtfkbmfk2u,#TTLC25,0,0,1,,https://link.edgepilot.com/s/cbf64424/vHXfEbbuBk_ME-XEqKgT5A?u=https://peerview.com/LungADC25-Live
2025-02-20,"Excellent and entertaining debate at #TTLC25 on the best 1L therapy for EGFR NSCLC by Drs Helena Yu and Shirish Gadgeel

Multiple considerations including baseline factors and patient centered shared decision making whether to add chemo to osimertinib

#lcsm #oncsky 
@iaslc.bsky.social",https://bsky.app/,"Jia Luo, MD",1100,@jia-luo.bsky.social,,United States,https://bsky.app/profile/jia-luo.bsky.social/post/3limxvhc2lc2v,"#TTLC25, #lcsm, #oncsky ",0,0,4,,
2025-02-20,"Dr @LeXiuning provides a great discussion as to the classification/optimal treatment of EGFR PACC mutations
While we can argue as to what is best choice for a pt w EGFR PACC mutation+ NSCLC - there is NO argument that the 
@iaslc TTLC faculty/staff is the best wolf pack to be part of to advance lung cancer therapy!",x.com,Balazs Halmos,8484,@BalazsHalmosMD,"Ridgefield, CT",United States,https://x.com/BalazsHalmosMD/status/1892625954977235084,,0,1,12,601,
2025-02-20,Greetings from #TTLC25! We're diving into the latest in targeted therapies for lung cancer with fresh insights & abundant networking. This year is one for the books!  All sessions are live-streamed & recordings will be on #LungCancer360 next week! https://bit.ly/IASLC-LC360,x.com,IASLC,19800,@IASLC,"Denver, CO",United States,https://x.com/IASLC/status/1892658323389817061,"#TTLC25, #LungCancer360 ",0,8,20,2326,https://education.iaslc.org/Public/Catalog/Home.aspx
2025-02-20,"Experts vs AI: The ADC Challenge – Lung Cancer Edition 

ADCs are revolutionizing #lungcancer treatment—but can #AI keep up with expert oncologists? Find out in this interactive, CME-accredited satellite symposium!

Today at #TTLC25
Register now: https://bit.ly/PeerviewTTLC25",x.com,IASLC,19800,@IASLC,"Denver, CO",United States,https://x.com/IASLC/status/1892665528017363372,"#AI, #TTLC25",1,9,13,1500,https://lrn.peerview.com/150210236_1/150210236_1_p1/stage1reg?Promocode=980&AudienceID=IASLC&MemberID=102961840&EmailID=25648891&CountryID=US&ProjectNumber=150210236_1
2025-02-20,"Thank you @IASLC for featuring the patient voice at #TTLC25! 
@ALKPositiveinc",x.com,"Eric K. Singhi, MD",4906,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1892700171919557065,#TTLC25,1,10,33,1639,
2025-02-20,Proud of my friend and fellow patient advocate Summer Farmen @Sunonmyhip @ALKPositiveinc so eloquently stating at @IASLC #TTLC25 why we need smarter & faster collaboration in research. We are all depending on you,x.com,Yvonne Diaz,1090,@Yvonne_Diaz_,,United Kingdom,https://x.com/Yvonne_Diaz_/status/1892702048245756304,#TTLC25,1,7,24,744,
2025-02-20,"What an amazing/inspiring talk by Summer Farmen of @ALKPositiveinc!
Summer’s talk definitely added some extra spring to our steps to speed up drug development and facilitate our collaborations- our patients do not have the time to wait!
#lcsm @IASLC",x.com,Balazs Halmos,8484,@BalazsHalmosMD,"Ridgefield, CT",United States,https://x.com/BalazsHalmosMD/status/1892701729243754646,#lcsm,2,8,34,1506,
2025-02-20,So honored to be here with this amazing team. Together we will make a difference for #alkpositive patients around the globe. 🤍,x.com,Summer Farmen,356,@Sunonmyhip,,,https://x.com/Sunonmyhip/status/1892820817441915173, #alkpositive ,1,0,6,230,
2025-02-20,"@IASLC #TTLC25 I am so very thrilled to connect with ⁦@BrunaPellini
⁩ ⁦@lungoncdoc amazing friends. Excited for what’s ahead 😎☀️",x.com,Dr. Nagla Abdel Karim,2514,@NaglaAKarimMD,VA,United States,https://x.com/NaglaAKarimMD/status/1892704597430739200,#TTLC25,1,5,39,1122,
2025-02-20,#TTLC25 Leave it to @BalazsHalmosMDc(King of Memes) to present data for next IO/VEGF inhibitors (I.e ivonescimab)  to compete for the Crown of 1L NSCLC therapy in the most memorable way. #lcsm,x.com,Dr. Estela Rodriguez,7130,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1892714795024941469,"#TTLC25, #lcsm",0,6,33,1737,
2025-02-20,"#TTLC25 Great connecting with the amazing community of thoracic oncologists, scientists industry experts, and trainees in Huntington CA. #lcsm 
@IASLC",x.com,Dr. Estela Rodriguez,7130,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1892718048571736144,"#TTLC25, #lcsm",0,2,44,1681,
2025-02-20,"Early-career development round tables at #TTLC25 were much appreciated!! 

@IASLC @CharuAggarwalMD @meerapatelmd @JyotiMalhotraMD",x.com,"Eric K. Singhi, MD",4906,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1892729183576445014,#TTLC25,0,4,23,1854,
2025-02-20,"Best flan at a conference #TTLC25 

@IASLC @BalazsHalmosMD",x.com,"Narjust Florez, MD, FASCO",24100,@NarjustFlorezMD,"Boston, MA",United States,https://x.com/NarjustFlorezMD/status/1892743789170565566,#TTLC25 ,0,2,37,1239,
2025-02-20,Erin Schenk (@SchenkLab) of @CUCancerCenter with a tour de force covering the evolving landscape of ADCs targeting extracellular tyrosine kinases in NSCLC. #TTLC25,x.com,Urs Weber MD,554,@UrsWeberMD,"Denver, CO",United States,https://x.com/UrsWeberMD/status/1892745522445697112,#TTLC25 ,0,3,7,538,
2025-02-20,"Dr. Tim Yap from @MDAndersonNews breaks down key extracellular ADC targets, many with FDA approvals outside of lung cancer. #TTLC25 
@IASLC

Tissue factor
Nectin-4
FRα
CEACAM5
NaPi2B
ROR2",x.com,"Eric K. Singhi, MD",4906,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1892748601425559996,#TTLC25 ,0,5,21,1899,
2025-02-20,"Dr. @sands_jacob for the meme win! Arguing for ADCs over docetaxel in 2L!
#lcam #lcsm @DFarberThoracic
 @IASLC #ttlc25",x.com,"Jennifer A. Marks, MD",1735,@jennifermarksmd,"Boston, MA",United States,https://x.com/jennifermarksmd/status/1892761395793469543,"#lcam, #lcsm, #ttlc25",0,6,18,1233,
2025-02-20,Great to see my brilliant friend @lungoncdoc shine as a panelist in the ADC session at #TTLC25! Insightful discussion on the future of targeted therapies in lung cancer—excited for what’s ahead! #LungCancer  #ADC,x.com,"Bruna Pellini, MD",2026,@BrunaPellini,"Tampa, FL",United States,https://x.com/BrunaPellini/status/1892762575978328483,"#TTLC25, #LungCancer, #ADC",1,5,39,1567,
2025-02-20,"Watch Drs. Jacob Sands (@sands_jacob), Anne Chiang (@Annechiangmd), & Julia Kathleen Rotow, MD (@JuliaRotow) discuss the latest #NSCLC updates from #TTLC25 - to participate, visit: https://bit.ly/LungADC25T",x.com,PeerView,5068,@PeerView,"New York, NY",United States,https://x.com/PeerView/status/1892766706436886611,#TTLC25,0,4,7,600,https://lrn.peerview.com/150210236_1/150210236_1_p1/stage3reg?Promocode=980&AudienceID=Twitter&MemberID=102961840&EmailID=25648891&CountryID=US&ProjectNumber=150210236_1
2025-02-20,"Amplifying the message of lung cancer in women at #TTLC25 with our GLOBAL #HearHer 

Because Lung Cancer is a Disease of Women 

@Florez_Lab
 
@LatinasInMed",x.com,"Narjust Florez, MD, FASCO",24100,@NarjustFlorezMD,"Boston, MA",United States,https://x.com/NarjustFlorezMD/status/1892770199738155464,"#TTLC25, #HearHer ",1,8,33,1465,
2025-02-20,"What a day at #TTLC25! Amazing weather in California, shoutout to @IASLC
Wrapping up with a “Expert vs Al” ADC challenge. 
Don’t forget to come by tomorrow to the poster sessions. Ending the debate between Flaura 2 vs Mariposa 
#LCSM",x.com,Sanad Alhushki,327,@SanadAlhushki,,Kingdom of Jordan,https://x.com/SanadAlhushki/status/1892775294878072919,"#TTLC25, #LCSM",2,5,35,4267,
2025-02-20,#TTLC25 and ⁦@HopkinsThoracic @kamarroneMD @vincentlamMD and Christine Hann!,x.com,Dr. Julie Brahmer,1582,@JulieBrahmer,"Baltimore, MD",United States,https://x.com/JulieBrahmer/status/1892776347636027565,#TTLC25 ,0,3,25,885,
